id,tm_r_str,pos1_r_str,pos2_r_str,pos3_r_str,pos4_r_str,pos5_r_str,tm_d_str,pos1_d_str,pos2_d_str,pos3_d_str,pos4_d_str,pos5_d_str,a_result,match_timestamp
1,5men,Ace:spe,Chessie:vspr,Xibbe:qop,MISERY:phx,pieliedie:cw,Natus Vincere,Crystallize:slk,Allison:inv,9pasha:mag,Immersion:rub,illias:ud,1,2020-09-14 18:56:40.999590
2,5men,Ace:jug,Chessie:dk,Xibbe:brew,MISERY:lion,pieliedie:ench,Natus Vincere,Crystallize:spe,Allison:qop,9pasha:vspr,Immersion:rub,illias:wl,0,2020-09-14 19:14:16.835434
3,Natus Vincere,Crystallize:spe,Allison:lin,9pasha:kunk,Immersion:gs,illias:wl,5men,Ace:tw,Chessie:vspr,Xibbe:mag,MISERY:esp,pieliedie:ud,0,2020-09-14 19:20:55.600299
4,Vikin.gg,Shad’:alc,BOOM:tin,Tobi:ds,mars:cw,Seleri:gs,OG,MidOne:fv,Topson:inv,Ceb:phx,Saksa:et,Notail:io,1,
5,Vikin.gg,Shad’:am,BOOM:emb,Tobi:phx,mars:cw,Seleri:gs,OG,MidOne:io,Topson:tw,Ceb:ds,Saksa:sb,Notail:aba,0,
6,Vikin.gg,Shad’:am,BOOM:tim,Tobi:ds,Mars:doom,Seleri:snf,OG,MidOne:sv,Topson:tin,Ceb:wr,Saksa:et,Notail:io,0,
7,Alliance,Nikobaby:fv,Limmp:bat,s4:ds,Handsken:sb,fng:puck,Virtus.pro,iLTW:dr,Noone:tin,Resolut1on:tide,Zayac:esp,Solo:sd,1,
8,Virtus.pro,iLTW:emb,Noone:dk,Resolut1on:veno,Zayac:et,Solo:rub,Alliance,Nikobaby:slk,Limmp:tin,s4:ds,Handsken:cw,fng:gs,0,
9,Ninjas in Pyjamas,CharlieDota:fv,Supream^:qop,SabeRLight-:pan,Era:tin,Misha:chen,Vikin.gg,Shad’:gyro,BOOM:emb,Tobi:sld,mars:phx,Seleri:io,1,
10,Vikin.gg,Shad’:alc,BOOM:sto,Tobi:phx,mars:sb,Seleri:ench,Ninjas in Pyjamas,CharlieDota:fv,Supream^:lin,SabeRLight-:pan,Era:tin,Misha:gs,1,
11,Vikin.gg,Shad’:med,BOOM:tin,Tobi:phx,mars:sb,Seleri:vs,Ninjas in Pyjamas,CharlieDota:fv,Supream^:vspr,SabeRLight-:sk,Era:rub,Misha:ench,1,
12,5men,Ace:tb,Chessie:qop,Xibbe:mag,MISERY:esp,pieliedie:cw,Evil Geniuses,Arteezy:naga,gpk:sto,RAMZES666:veno,Cr1t-:tin,Fly:ww,0,
13,5men,Ace:spe,Chessie:puck,Xibbe:veno,MISERY:et,pieliedie:mag,Evil Geniuses,Arteezy:tb,gpk:tin,RAMZES666:np,Cr1t-:pan,Fly:wl,0,
14,Alliance,Nikobaby:cli,Limmp:vspr,s4:doom,Handsken:dis,fng:ench,Team Nigma,Miracle-:aw,w33:pug,MinD_ContRoL:ds,GH:phx,rmN-:cw,0,
15,Team Nigma,Miracle-:dr,w33:bat,MinD_ContRoL:bst,GH:sky,rmN-:cw,Alliance,Nikobaby:morp,Limmp:aba,s4:veno,Handsken:tin,fng:sd,0,
16,Alliance,Nikobaby:morp,Limmp:dk,s4:ds,Handsken:lin,fng:bane,Team Nigma,Miracle-:spe,w33:wr,MinD_ContRoL:doom,GH:phx,rmN-:dis,0,
17,Ninjas in Pyjamas,CharlieDota:lyc,Supream^:emb,SabeRLight-:phx,Era:es,Misha:ench,OG,MidOne:io,Topson:tide,Ceb:ds,Saksa:esp,Notail:ora,0,
18,OG,MidOne:io,Topson:gyro,Ceb:cent,Saksa:gs,Notail:aba,Ninjas in Pyjamas,CharlieDota:sv,Supream^:inv,SabeRLight-:pan,Era:phx,Misha:wd,1,
19,Team Secret,MATUMBAMAN:am,Nisha:vipe,zai:snf,YapzOr:esp,Puppey:puck,Team Liquid,miCKe:sv,qojqva:ld,Boxi:cent,Taiga:phx,iNSaNiA:rub,0,
20,Team Secret,MATUMBAMAN:vis,Nisha:sf,zai:doom,YapzOr:tin,Puppey:vs,Team Liquid,miCKe:morp,qojqva:bro,Boxi:mars,Taiga:rub,iNSaNiA:ud,1,
21,Team Secret,MATUMBAMAN:am,Nisha:pug,zai:ul,YapzOr:cw,Puppey:wea,Team Liquid,miCKe:dr,qojqva:ta,Boxi:ds,Taiga:tin,iNSaNiA:dis,1,
22,Virtus.pro,iLTW:fv,Noone:vipe,Resolut1on:np,Zayac:tin,Solo:veno,Natus Vincere,Crystallize:spe,Allison:lin,9pasha:kunk,Immersion:rub,illias:ora,0,
23,Natus Vincere,Crystallize:fv,Allison:qop,9pasha:np,Immersion:rub,illias:ench,Virtus.pro,iLTW:io,Noone:bb,Resolut1on:bat,Zayac:tin,Solo:aba,0,
24,Natus Vincere,Crystallize:spe,Allison:np,9pasha:bst,Immersion:esp,illias:wl,Virtus.pro,iLTW:emb,Noone:tin,Resolut1on:veno,Zayac:et,Solo:wd,0,
25,FlyToMoon,V-Tune:gyro,Iceberg:urs,GeneRaL:ds,RodjER:cw,ALWAYSWANNAFLY:io,Vikin.gg,Shad’:fv,BOOM:sto,Tobi:phx,mars:sb,Seleri:gs,0,
26,FlyToMoon,V-Tune:tb,Iceberg:emb,GeneRaL:cw,RodjER:bane,ALWAYSWANNAFLY:phx,Vikin.gg,Shad’:ls,BOOM:inv,Tobi:veno,mars:sb,Seleri:ench,1,
27,FlyToMoon,V-Tune:fv,Iceberg:lin,GeneRaL:ds,RodjER:sb,ALWAYSWANNAFLY:jak,Vikin.gg,Shad’:wk,BOOM:mag,Tobi:veno,mars:tin,Seleri:ench,0,
28,Ninjas in Pyjamas,CharlieDota:ns,Supream^:ta,SabeRLight-:ds,Era:cw,Misha:gs,Team Secret,MATUMBAMAN:am,Nisha:emb,zai:ul,YapzOr:tin,Puppey:wd,0,
